0 0:-0.126984 1:-0.0588235 2:-0.831858 3:-0.773331 4:-0.839274 5:-0.840685 6:-0.753861 7:1 8:-1 9:-1 
1 0:-0.269841 1:-0.159664 2:-0.831858 3:-0.802019 4:-0.832549 5:-0.863068 6:-0.823617 7:1 8:-1 9:-1 
0 0:0.206349 1:0.210084 2:-0.743363 3:-0.332743 4:-0.484196 5:-0.514154 6:-0.474838 7:-1 8:1 9:-1 
0 0:-0.396825 1:-0.294118 2:-0.849558 3:-0.871436 4:-0.897781 5:-0.880184 6:-0.873443 7:-1 8:-1 9:1 
1 0:0.031746 1:0.0420168 2:-0.79646 3:-0.65433 4:-0.701412 5:-0.676103 6:-0.736921 7:-1 8:1 9:-1 
1 0:-0.111111 1:-0.0420168 2:-0.787611 3:-0.724455 4:-0.792199 5:-0.751152 6:-0.72297 7:1 8:-1 9:-1 
0 0:-0.015873 1:0.0420168 2:-0.778761 3:-0.670622 4:-0.746469 5:-0.752469 6:-0.688092 7:-1 8:-1 9:1 
1 0:0.015873 1:0.0252101 2:-0.769912 3:-0.631309 4:-0.735037 5:-0.720869 6:-0.674141 7:-1 8:1 9:-1 
1 0:-0.333333 1:-0.193277 2:-0.823009 3:-0.852311 4:-0.912576 5:-0.863068 6:-0.853513 7:-1 8:-1 9:1 
1 0:-0.349206 1:-0.294118 2:-0.840708 3:-0.882415 4:-0.934095 5:-0.893351 6:-0.877429 7:-1 8:-1 9:1 
1 0:-0.269841 1:-0.394958 2:-0.823009 3:-0.818665 4:-0.859449 5:-0.859118 6:-0.843548 7:-1 8:-1 9:1 
1 0:-0.349206 1:-0.310924 2:-0.849558 3:-0.866478 4:-0.892401 5:-0.873601 6:-0.893373 7:-1 8:-1 9:1 
0 0:-0.0793651 1:-0.0252101 2:-0.787611 3:-0.656455 4:-0.737054 5:-0.716919 6:-0.684106 7:-1 8:1 9:-1 
0 0:0.142857 1:0.159664 2:-0.769912 3:-0.595183 4:-0.706792 5:-0.64187 6:-0.61435 7:1 8:-1 9:-1 
1 0:-0.444444 1:-0.378151 2:-0.849558 3:-0.878874 4:-0.894418 5:-0.901251 6:-0.903338 7:-1 8:-1 9:1 
0 0:0.492063 1:0.445378 2:-0.681416 3:-0.166637 4:-0.372562 5:-0.302172 6:-0.22571 7:-1 8:1 9:-1 
0 0:0.396825 1:0.327731 2:-0.716814 3:-0.36391 4:-0.519839 5:-0.59052 6:-0.375187 7:1 8:-1 9:-1 
1 0:-0.428571 1:-0.327731 2:-0.831858 3:-0.868603 4:-0.902488 5:-0.882818 6:-0.883408 7:-1 8:-1 9:1 
1 0:-0.047619 1:-0.0420168 2:-0.769912 3:-0.738268 4:-0.785474 5:-0.791968 6:-0.793722 7:-1 8:-1 9:1 
0 0:-0.0634921 1:-0.0756303 2:-0.787611 3:-0.755622 4:-0.839946 5:-0.780118 6:-0.793722 7:-1 8:1 9:-1 
1 0:-0.428571 1:-0.462185 2:-0.867257 3:-0.920312 4:-0.94082 5:-0.931534 6:-0.933234 7:-1 8:-1 9:1 
1 0:0.047619 1:0.0756303 2:-0.743363 3:-0.451036 4:-0.710827 5:-0.658986 6:-0.664175 7:-1 8:-1 9:1 
0 0:-0.015873 1:-0.00840336 2:-0.787611 3:-0.655392 4:-0.741762 5:-0.724819 6:-0.694071 7:-1 8:1 9:-1 
1 0:0.031746 1:0.0252101 2:-0.778761 3:-0.684788 4:-0.773369 5:-0.788018 6:-0.723966 7:1 8:-1 9:-1 
1 0:-0.666667 1:-0.579832 2:-0.884956 3:-0.945458 4:-0.955615 5:-0.96445 6:-0.953164 7:-1 8:-1 9:1 
1 0:-0.412698 1:-0.361345 2:-0.840708 3:-0.883478 4:-0.921318 5:-0.895984 6:-0.883408 7:-1 8:1 9:-1 
0 0:0.015873 1:-0.00840336 2:-0.769912 3:-0.67133 4:-0.753194 5:-0.740619 6:-0.714001 7:-1 8:1 9:-1 
1 0:-0.492063 1:-0.428571 2:-0.858407 3:-0.906145 4:-0.928716 5:-0.938117 6:-0.903338 7:-1 8:-1 9:1 
0 0:-0.301587 1:-0.243697 2:-0.80531 3:-0.838144 4:-0.874243 5:-0.878868 6:-0.853513 7:1 8:-1 9:-1 
1 0:-0.539683 1:-0.462185 2:-0.867257 3:-0.910041 4:-0.934095 5:-0.923634 6:-0.923269 7:-1 8:-1 9:1 
0 0:0.285714 1:0.277311 2:-0.707965 3:-0.314326 4:-0.549428 5:-0.391705 6:-0.415047 7:1 8:-1 9:-1 
0 0:0.47619 1:0.546218 2:-0.699115 3:-0.193908 4:-0.422327 5:-0.410138 6:-0.165919 7:1 8:-1 9:-1 
0 0:0.365079 1:0.462185 2:-0.654867 3:-0.0688861 4:-0.287828 5:-0.332456 6:-0.18585 7:-1 8:1 9:-1 
0 0:0.380952 1:0.411765 2:-0.672566 3:-0.322472 4:-0.443847 5:-0.576037 6:-0.345291 7:1 8:-1 9:-1 
0 0:0.587302 1:0.579832 2:-0.681416 3:0.150345 4:-0.198386 5:-0.0941409 6:0.0533134 7:-1 8:1 9:-1 
0 0:0.222222 1:0.327731 2:-0.699115 3:-0.448203 4:-0.590451 5:-0.591837 6:-0.415047 7:-1 8:1 9:-1 
0 0:-0.15873 1:-0.0420168 2:-0.769912 3:-0.741101 4:-0.804976 5:-0.768269 6:-0.763827 7:1 8:-1 9:-1 
0 0:-0.269841 1:-0.159664 2:-0.814159 3:-0.802373 4:-0.860794 5:-0.839368 6:-0.823617 7:1 8:-1 9:-1 
0 0:-0.047619 1:0.00840336 2:-0.787611 3:-0.70958 4:-0.847344 5:-0.826201 6:-0.684106 7:-1 8:1 9:-1 
0 0:-0.222222 1:-0.193277 2:-0.831858 3:-0.842394 4:-0.896436 5:-0.859118 6:-0.843548 7:1 8:-1 9:-1 
0 0:-0.031746 1:-0.00840336 2:-0.787611 3:-0.658934 4:-0.757229 5:-0.62212 6:-0.684106 7:-1 8:-1 9:1 
0 0:0.0634921 1:0.092437 2:-0.734513 3:-0.572871 4:-0.7115 5:-0.632653 6:-0.644245 7:1 8:-1 9:-1 
0 0:0.269841 1:0.243697 2:-0.725664 3:-0.351514 4:-0.62811 5:-0.361422 6:-0.335326 7:-1 8:-1 9:1 
0 0:-0.047619 1:-0.00840336 2:-0.743363 3:-0.617142 4:-0.763954 5:-0.677419 6:-0.65421 7:1 8:-1 9:-1 
