1 0:0.375 1:0.3 2:0.075 3:0.144 4:0.059 5:0.03 6:0.044 8:1
1 0:0.415 1:0.325 2:0.1 3:0.4665 4:0.2285 5:0.1065 6:0.114 8:1
1 0:0.415 1:0.315 2:0.105 3:0.33 4:0.1405 5:0.07049999999999999 6:0.095 8:1
1 0:0.415 1:0.315 2:0.09 3:0.3625 4:0.175 5:0.0835 6:0.093 8:1
1 0:0.42 1:0.32 2:0.1 3:0.34 4:0.1745 5:0.05 6:0.0945 8:1
1 0:0.425 1:0.31 2:0.105 3:0.365 4:0.159 5:0.0825 6:0.105 8:1
1 0:0.465 1:0.375 2:0.11 3:0.5 4:0.21 5:0.113 6:0.1505 9:1
1 0:0.465 1:0.35 2:0.135 3:0.6264999999999999 4:0.259 5:0.1445 6:0.175 7:1
1 0:0.47 1:0.37 2:0.11 3:0.5555 4:0.25 5:0.115 6:0.163 8:1
1 0:0.47 1:0.375 2:0.12 3:0.6015 4:0.2765 5:0.1455 6:0.135 7:1
0 0:0.475 1:0.365 2:0.12 3:0.53 4:0.2505 5:0.0975 6:0.1625 8:1
1 0:0.48 1:0.37 2:0.135 3:0.6315 4:0.3445 5:0.1015 6:0.161 9:1
1 0:0.5 1:0.4 2:0.13 3:0.7715 4:0.37 5:0.16 6:0.211 9:1
1 0:0.505 1:0.39 2:0.185 3:0.6125 4:0.267 5:0.142 6:0.172 8:1
1 0:0.525 1:0.425 2:0.19 3:0.872 4:0.4625 5:0.1725 6:0.199 9:1
1 0:0.54 1:0.42 2:0.12 3:0.8115 4:0.392 5:0.1455 6:0.2235 9:1
0 0:0.545 1:0.45 2:0.15 3:0.8794999999999999 4:0.387 5:0.15 6:0.2625 9:1
1 0:0.5649999999999999 1:0.44 2:0.15 3:0.983 4:0.4475 5:0.2355 6:0.2485 7:1
0 0:0.58 1:0.46 2:0.18 3:1.145 4:0.48 5:0.277 6:0.325 9:1
1 0:0.59 1:0.455 2:0.16 3:1.09 4:0.5 5:0.2215 6:0.292 9:1
1 0:0.59 1:0.48 2:0.16 3:1.262 4:0.5685 5:0.2725 6:0.335 9:1
0 0:0.595 1:0.49 2:0.185 3:1.185 4:0.482 5:0.2015 6:0.361 9:1
1 0:0.6 1:0.475 2:0.135 3:1.4405 4:0.5885 5:0.191 6:0.3175 7:1
1 0:0.6 1:0.5 2:0.155 3:1.332 4:0.6235000000000001 5:0.2835 6:0.35 7:1
1 0:0.6 1:0.485 2:0.165 3:1.1405 4:0.587 5:0.2175 6:0.288 7:1
0 0:0.605 1:0.475 2:0.175 3:1.201 4:0.5395 5:0.275 6:0.309 9:1
0 0:0.625 1:0.49 2:0.155 3:1.33 4:0.6675 5:0.259 6:0.33 7:1
0 0:0.63 1:0.5 2:0.185 3:1.362 4:0.5785 5:0.3125 6:0.384 9:1
0 0:0.64 1:0.585 2:0.195 3:1.647 4:0.7225 5:0.331 6:0.471 9:1
0 0:0.64 1:0.5 2:0.18 3:1.4995 4:0.593 5:0.314 6:0.431 7:1
0 0:0.655 1:0.545 2:0.165 3:1.6225 4:0.6555 5:0.299 6:0.513 7:1
0 0:0.66 1:0.525 2:0.215 3:1.786 4:0.6725 5:0.3615 6:0.4065 8:1
0 0:0.66 1:0.535 2:0.2 3:1.791 4:0.733 5:0.318 6:0.54 9:1
0 0:0.675 1:0.555 2:0.205 3:1.925 4:0.713 5:0.358 6:0.4535 7:1
0 0:0.675 1:0.55 2:0.175 3:1.689 4:0.694 5:0.371 6:0.474 7:1
1 0:0.6899999999999999 1:0.55 2:0.18 3:1.659 4:0.8715000000000001 5:0.2655 6:0.4395 7:1
0 0:0.695 1:0.53 2:0.2 3:2.0475 4:0.75 5:0.4195 6:0.6095 7:1
0 0:0.7 1:0.525 2:0.19 3:1.6015 4:0.707 5:0.365 6:0.43 7:1
0 0:0.73 1:0.57 2:0.165 3:2.0165 4:1.0685 5:0.418 6:0.435 7:1
1 0:0.205 1:0.15 2:0.065 3:0.04 4:0.02 5:0.011 6:0.013 8:1
1 0:0.225 1:0.17 2:0.07000000000000001 3:0.0565 4:0.024 5:0.013 6:0.016 8:1
1 0:0.23 1:0.18 2:0.05 3:0.064 4:0.0215 5:0.0135 6:0.02 8:1
1 0:0.275 1:0.195 2:0.07000000000000001 3:0.08749999999999999 4:0.0345 5:0.022 6:0.0255 8:1
1 0:0.28 1:0.21 2:0.055 3:0.106 4:0.0415 5:0.0265 6:0.031 8:1
1 0:0.28 1:0.22 2:0.08 3:0.1315 4:0.066 5:0.024 6:0.03 8:1
1 0:0.295 1:0.22 2:0.07000000000000001 3:0.126 4:0.0515 5:0.0275 6:0.035 8:1
1 0:0.31 1:0.225 2:0.075 3:0.155 4:0.065 5:0.037 6:0.0365 8:1
1 0:0.315 1:0.235 2:0.07000000000000001 3:0.149 4:0.058 5:0.0325 6:0.047 8:1
1 0:0.34 1:0.265 2:0.07000000000000001 3:0.185 4:0.0625 5:0.0395 6:0.07000000000000001 8:1
1 0:0.37 1:0.29 2:0.08 3:0.2545 4:0.108 5:0.0565 6:0.07000000000000001 8:1
1 0:0.38 1:0.285 2:0.08500000000000001 3:0.237 4:0.115 5:0.0405 6:0.07000000000000001 8:1
1 0:0.39 1:0.295 2:0.1 3:0.279 4:0.1155 5:0.059 6:0.08 8:1
1 0:0.405 1:0.31 2:0.065 3:0.3205 4:0.1575 5:0.066 6:0.08799999999999999 8:1
1 0:0.415 1:0.325 2:0.1 3:0.3335 4:0.1445 5:0.07149999999999999 6:0.095 8:1
1 0:0.44 1:0.335 2:0.11 3:0.3885 4:0.175 5:0.0835 6:0.111 8:1
